Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     21.61     0.00        4     0.00     0.00  lua_newuserdatauv
  0.00     21.61     0.00        4     0.00     0.00  lua_pushlightuserdata
  0.00     21.61     0.00        4     0.00     0.00  lua_pushlstring
  0.00     21.61     0.00        3     0.00     0.00  addlenmod
  0.00     21.61     0.00        3     0.00     0.00  checkformat
  0.00     21.61     0.00        3     0.00     0.00  f_gc
  0.00     21.61     0.00        3     0.00     0.00  getF
  0.00     21.61     0.00        3     0.00     0.00  io_noclose
  0.00     21.61     0.00        3     0.00     0.00  isSCnumber
  0.00     21.61     0.00        3     0.00     0.00  luaB_print
  0.00     21.61     0.00        3     0.00     0.00  luaL_addvalue
  0.00     21.61     0.00        3     0.00     0.00  luaL_buffinit
  0.00     21.61     0.00        3     0.00     0.00  luaL_checklstring
  0.00     21.61     0.00        3     0.00     0.00  luaL_checknumber
  0.00     21.61     0.00        3     0.00     0.00  luaL_pushresult
  0.00     21.61     0.00        3     0.00     0.00  luaL_setmetatable
  0.00     21.61     0.00        3     0.00     0.00  luaM_saferealloc_
  0.00     21.61     0.00        3     0.00     0.00  luaS_eqlngstr
  0.00     21.61     0.00        3     0.00     0.00  luaZ_fill
  0.00     21.61     0.00        3     0.00     0.00  lua_gc
  0.00     21.61     0.00        3     0.00     0.00  lua_isinteger
  0.00     21.61     0.00        3     0.00     0.00  lua_pushnil
  0.00     21.61     0.00        3     0.00     0.00  lua_rawget
  0.00     21.61     0.00        3     0.00     0.00  lua_tonumberx
  0.00     21.61     0.00        3     0.00     0.00  str_format
  0.00     21.61     0.00        3     0.00     0.00  sweep2old
  0.00     21.61     0.00        3     0.00     0.00  tostringbuff
  0.00     21.61     0.00        3     0.00     0.00  warnfon
  0.00     21.61     0.00        2     0.00     0.00  block
  0.00     21.61     0.00        2     0.00     0.00  correctstack
  0.00     21.61     0.00        2     0.00     0.00  createlabel
  0.00     21.61     0.00        2     0.00     0.00  f_call
  0.00     21.61     0.00        2     0.00     0.00  forbody
  0.00     21.61     0.00        2     0.00     0.00  luaD_growstack
  0.00     21.61     0.00        2     0.00     0.00  luaD_inctop
  0.00     21.61     0.00        2     0.00     0.00  luaD_reallocstack
  0.00     21.61     0.00        2     0.00     0.00  luaH_getn
  0.00     21.61     0.00        2     0.00     0.00  luaK_concat
  0.00     21.61     0.00        2     0.00     0.00  luaK_goiftrue
  0.00     21.61     0.00        2     0.00     0.00  luaL_len
  0.00     21.61     0.00        2     0.00     0.00  luaV_objlen
  0.00     21.61     0.00        2     0.00     0.00  lua_len
  0.00     21.61     0.00        2     0.00     0.00  lua_pcallk
  0.00     21.61     0.00        2     0.00     0.00  lua_rawgeti
  0.00     21.61     0.00        2     0.00     0.00  setpath
  0.00     21.61     0.00        2     0.00     0.00  test_then_block
  0.00     21.61     0.00        1     0.00     0.00  atomic2gen
  0.00     21.61     0.00        1     0.00    15.43  close_state
  0.00     21.61     0.00        1     0.00     0.00  closepaux
  0.00     21.61     0.00        1     0.00     0.00  docall
  0.00     21.61     0.00        1     0.00     0.00  entergen
  0.00     21.61     0.00        1     0.00     0.00  enterinc
  0.00     21.61     0.00        1     0.00     0.00  f_luaopen
  0.00     21.61     0.00        1     0.00     0.00  f_parser
  0.00     21.61     0.00        1     0.00     0.00  gctm
  0.00     21.61     0.00        1     0.00     0.00  luaC_barrierback_
  0.00     21.61     0.00        1     0.00     0.00  luaC_changemode
  0.00     21.61     0.00        1     0.00    12.34  luaC_freeallobjects
  0.00     21.61     0.00        1     0.00     3.09  luaD_closeprotected
  0.00     21.61     0.00        1     0.00     0.00  luaD_protectedparser
  0.00     21.61     0.00        1     0.00     0.00  luaF_close
  0.00     21.61     0.00        1     0.00     0.00  luaF_initupvals
  0.00     21.61     0.00        1     0.00     0.00  luaK_nil
  0.00     21.61     0.00        1     0.00     0.00  luaL_checkstack
  0.00     21.61     0.00        1     0.00     0.00  luaL_loadfilex
  0.00     21.61     0.00        1     0.00     0.00  luaL_newmetatable
  0.00     21.61     0.00        1     0.00     3.09  luaL_newstate
  0.00     21.61     0.00        1     0.00     0.00  luaL_openlibs
  0.00     21.61     0.00        1     0.00     0.00  luaS_hash
  0.00     21.61     0.00        1     0.00     0.00  luaS_init
  0.00     21.61     0.00        1     0.00     0.00  luaS_resize
  0.00     21.61     0.00        1     0.00     0.00  luaT_init
  0.00     21.61     0.00        1     0.00     0.00  luaX_init
  0.00     21.61     0.00        1     0.00     0.00  luaX_setinput
  0.00     21.61     0.00        1     0.00     0.00  luaY_parser
  0.00     21.61     0.00        1     0.00     0.00  luaZ_init
  0.00     21.61     0.00        1     0.00     0.00  lua_atpanic
  0.00     21.61     0.00        1     0.00     0.00  lua_close
  0.00     21.61     0.00        1     0.00     0.00  lua_getglobal
  0.00     21.61     0.00        1     0.00     0.00  lua_load
  0.00     21.61     0.00        1     0.00     3.09  lua_newstate
  0.00     21.61     0.00        1     0.00     0.00  lua_setwarnf
  0.00     21.61     0.00        1     0.00     0.00  luaopen_base
  0.00     21.61     0.00        1     0.00     0.00  luaopen_coroutine
  0.00     21.61     0.00        1     0.00     0.00  luaopen_debug
  0.00     21.61     0.00        1     0.00     0.00  luaopen_io
  0.00     21.61     0.00        1     0.00     0.00  luaopen_math
  0.00     21.61     0.00        1     0.00     0.00  luaopen_os
  0.00     21.61     0.00        1     0.00     0.00  luaopen_package
  0.00     21.61     0.00        1     0.00     0.00  luaopen_string
  0.00     21.61     0.00        1     0.00     0.00  luaopen_table
  0.00     21.61     0.00        1     0.00     0.00  luaopen_utf8
  0.00     21.61     0.00        1     0.00     0.00  pmain
  0.00     21.61     0.00        1     0.00     0.00  singlestep
  0.00     21.61     0.00        1     0.00     0.00  skipcomment
  0.00     21.61     0.00        1     0.00     0.00  stack_init
  0.00     21.61     0.00        1     0.00     0.00  tablerehash

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.05% of 21.61 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   21.60                 main [1]
                0.00   15.43       1/1           close_state [4]
                0.00    3.09       1/1           luaL_newstate [7]
                2.82    0.27       1/7           lua_pcallk <cycle 1> [254]
                0.00    0.00       1/3           lua_gc [68]
                0.00    0.00       1/40000948     l_alloc [22]
                0.00    0.00       1/168         lua_pushcclosure [94]
                0.00    0.00       1/5           lua_pushinteger [226]
                0.00    0.00       1/4           lua_pushlightuserdata [232]
                0.00    0.00       1/11          lua_toboolean [204]
                0.00    0.00       1/1           lua_close [265]
-----------------------------------------------
[2]    100.0   19.71    1.89       7+306946324 <cycle 1 as a whole> [2]
               18.83    1.89       1             luaV_execute <cycle 1> [3]
                0.88    0.00 306946270             luaD_precall <cycle 1> [11]
                0.00    0.00       9             luaD_rawrunprotected <cycle 1> [27]
                0.00    0.00      10             luaL_requiref <cycle 1> [33]
                0.00    0.00       1             pmain <cycle 1> [57]
                0.00    0.00       1             luaL_openlibs <cycle 1> [96]
                0.00    0.00       1             luaD_protectedparser <cycle 1> [114]
                0.00    0.00       1             luaL_loadfilex <cycle 1> [131]
                0.00    0.00       1             docall <cycle 1> [155]
                0.00    0.00      16             luaD_callnoyield <cycle 1> [192]
                0.00    0.00      10             lua_callk <cycle 1> [208]
                0.00    0.00       7             luaD_pcall <cycle 1> [218]
                0.00    0.00       2             lua_pcallk <cycle 1> [254]
                0.00    0.00       1             lua_load <cycle 1> [266]
-----------------------------------------------
                                   1             luaD_callnoyield <cycle 1> [192]
[3]     95.9   18.83    1.89       1         luaV_execute <cycle 1> [3]
                1.09    0.00 310000031/310000031     luaD_pretailcall [10]
                0.41    0.00 271946179/271946189     luaH_getshortstr [12]
                0.00    0.16  142858/142866      luaC_step [13]
                0.07    0.00 35000103/35000103     luaT_getvarargs [17]
                0.03    0.04 10000005/10000006     luaF_newLclosure [18]
                0.02    0.04 10000001/10000001     luaF_findupval [19]
                0.03    0.00 25000004/25000004     luaV_tointeger [23]
                0.00    0.00       6/203         luaV_finishset [63]
                0.00    0.00 10000001/10000002     luaF_closeupval [159]
                0.00    0.00      29/29          luaG_traceexec [185]
                0.00    0.00       4/31          luaD_poscall [184]
                0.00    0.00       4/4           luaT_adjustvarargs [230]
                             306946254             luaD_precall <cycle 1> [11]
-----------------------------------------------
                0.00   15.43       1/1           main [1]
[4]     71.4    0.00   15.43       1         close_state [4]
                0.00   12.34       1/1           luaC_freeallobjects [5]
                0.00    3.09       1/1           luaD_closeprotected [9]
                0.00    0.00      35/20000430     luaM_free_ [21]
-----------------------------------------------
                0.00   12.34       1/1           close_state [4]
[5]     57.1    0.00   12.34       1         luaC_freeallobjects [5]
                0.00   12.34       4/4           GCTM [6]
                0.00    0.00     296/20000290     freeobj [15]
                0.00    0.00     296/20000430     luaM_free_ [21]
                0.00    0.00       6/6           luaF_freeproto [78]
                0.00    0.00      20/21          luaH_free [79]
                0.00    0.00       1/1           enterinc [257]
                0.00    0.00       1/142861      separatetobefnz [166]
-----------------------------------------------
                0.00   12.34       4/4           luaC_freeallobjects [5]
[6]     57.1    0.00   12.34       4         GCTM [6]
